Id,Last
1,59647791202745
2,725161963867
4,158
5,406
6,49
9,1461
10,1
12,543432765475387527397376
14,10576607847561078339796992
17,2795903786354347606016
19,9418
22,32855719753
25,156
27,-6777866008029815635968
29,1155
30,27
31,130
32,-94139878
33,1
37,0
38,154964620775629888241128011368235008
39,1234567
42,395434908
43,70199194714461225804103680
45,1
47,161505
48,16782
50,6523585318
54,72
55,143
56,377599345119560794112
58,154
60,766582546402667648
62,2
68,1
70,0
71,215
74,23018
78,5873945233705
79,159
80,63359160443
81,127666220544220169502720
83,6
84,87960930222080
85,417
87,16893568584074416
88,6
90,96147057896403
93,1
96,136
97,0
98,3
99,1
101,0
103,13892162580
106,2
114,335
115,37022
116,24
117,2
120,789
121,-852233952641369636864
122,98
124,267786673
125,1
127,16
128,673
129,1818381696223708073426944
131,4799
138,21
140,12923
142,275
143,1152921504606846976
144,5914551
145,1868853595426939
146,541946240
148,10981857825124725555200
151,70889500857407526950751689313878016
153,736
154,1
156,9410643632626956668093071360
157,302
161,1
169,0
170,1
172,214
173,188
175,11888688646338116
180,1
182,495
183,136
184,9520321304615580
187,467
189,838829650246380552192
191,2247
193,659
194,621
195,0
196,226257606
197,131
199,109
200,-226341747497895307352473600
201,4444199386899
206,1444444444441
207,1
209,9375
214,5469191608792975360
216,246
218,-24575459010418687615172608
228,234
230,461
231,32247640871902
232,7
233,4
234,39147779586
235,693
236,0
239,5662052980
240,1502
243,735665064151
247,68207
248,1
250,260889
252,181253848201312
253,15
257,389635047927132
260,0
261,2757
265,1
267,-372798632924490048
269,21
270,46
273,23516241641085874176
274,5
279,60
281,23
283,5751387120059369472
285,92470734734
287,90486
291,551343268152723114392721293312
292,1
301,1
307,7770488166051562389504
309,5438674473932192731126300672
312,3920
314,196780007331088752705318679792648055098616643495919616
316,98389
321,464092875294121262149100621159989248
322,5
324,2147483676
325,320
330,5
331,5801
333,4
337,810297483707309440
338,647
341,47804034
342,102368834
343,3851913766022950318514498906882048
344,9
345,558856943418153280
346,3970175973963
348,84
349,78420740395
351,43
353,13241536274
355,988433749842107904
356,880
357,0
358,26728034
360,6
362,72971508806425763840
363,447362835296127408840483612175368192
364,3
365,149057
367,39499
368,1
369,3
370,1
371,10697191702336406290432
375,102
376,145
380,144
381,181
382,423
383,769
384,221
385,12
388,2609
389,7438887113266980
390,1
391,1534674653372294822066543680139133190144
393,1
396,1048
397,55
398,54
399,0
401,2600
402,487810345489419
404,30246803420040302428160
405,2333521433367183360
407,2
409,16
411,5169676077214460
412,61
413,28560
414,1
416,106929
417,5
418,324259173170675648
419,191165
422,387338805
423,1
424,51861365558
427,11146
432,69805770185051
433,139
435,172406287839
440,4603
442,1
445,1147
446,132
449,338
450,1180610
452,1210107565283851685068800
453,677798605983993954304
454,572204589843750
456,266863001310356
457,46663520
459,7
460,133333287
462,309485009821345068724781056
465,82
468,1510236415306298880
471,1941624275200
472,44479134035859536
473,11063531
474,210
476,873
478,579473
480,2
481,4294967416
482,95
484,0
485,210
487,16
488,35239908877188961161707520
489,624
491,1
493,1
495,1250236709124952576
496,128
497,0
498,124192270
500,173
501,1204
504,1
507,2151469377
508,115
509,4
512,1
513,2767
514,493
522,77572756670578160
523,640
524,697
527,2677
528,15247
529,2
530,7133376499493764
531,4
532,1
536,2
537,1
538,73
539,2
542,278
543,1069443
544,1
545,55389437123184640
547,72
548,47681972428112
550,261394
551,8
552,11577739208
553,374730432
560,20002
561,1
562,1417
563,498868299072
564,7121453984059540480
565,71181293500965
567,39402269847775683188621312
570,2243
573,1
574,602400691612422025230753037887021480207712256
575,1070097
576,10
577,5
580,19
583,86
586,446311604380789425307648
587,0
591,978675
593,977
594,5321999547
596,1
599,29
600,64
603,13732910155
605,23
607,2207
613,109
616,146370
617,51129524160014839091679593477706991319150285123035060184876024234036674475376326475776
625,3956773333044524186861568
626,20
629,0
633,19465109
635,199976918230722720
636,353
639,160526
640,286380
642,5722569627753465324284223656779202482815291771834073088
647,237
648,54750669538493456
649,5394862175594
650,4294967299
652,820009914
654,13222043735667648648708096
656,1
663,6158704656906119517836319786428006400
665,147
666,139
668,1842710234628915147571200
670,44584
672,3
673,-282696848623755048056191451136
675,1260
676,2239
677,40040
679,4861
680,125003427
681,1
684,529181949678434272673792
685,34691223
687,1003928499625
688,53825307645
690,18319766917914650624
691,0
695,383
699,1
701,1
702,27
703,385507
708,15128761344
709,0
710,0
711,12537718510973212
712,16991329795972962661701971102620478078976
715,185754452841192084209664
716,124
717,520
719,142
720,20472344560800
723,1
724,1861
725,144
726,2449
727,43406301788286353517051904
728,56206941
736,31903442
739,14207
740,1
741,4
742,103959241263363991273472
743,0
745,1
748,215
749,509
751,201
752,1
753,772
754,10780818687838939136
755,4334604994
757,-3
758,4
760,9217
761,1
762,1753
763,2001002
765,2940
767,3
768,89549255592
769,2
772,389375
773,14519
774,1
778,1
779,16
781,1
782,268
783,6999963827434378
787,22076468426830
788,5202
791,2222
795,30
798,1
799,1
800,1507
802,1383410902447555
806,16
808,984550153040694016
811,2012012012012019
812,92416515221
814,307
815,610339
818,13
819,2019067082
821,2271
822,16237
825,179199
835,1
836,4
837,2
838,222
839,1
840,151702546120709
841,907
844,0
845,729464836964806688768
846,13886
849,5683
851,391603512195940234559488
852,645068237299902848
855,10514182345513238528
856,61834
860,1
861,0
864,387005
866,9770128253650761728
867,0
868,181
869,0
871,4812260962479035645952
872,1
877,1977985201462558830100480
878,10
879,16349
880,997
882,0
885,95
887,22844996645751312
