1, 71822743499520
# 2, 725161963867
4, 53
5, 439
6, 70
# 9, 1461
10, 6420086182473722
12, 539399446172552069053404
14, 50648631487657145850324740233
17, 629078351928420506112000
19, 9516
# 22, 32855719753
25, 69
27, -197616382266838353559
# 29, 1155
30, 56
*-1 31, 131
32, -94143280
33, 2048
37, 254
38, 154964620775524737157861783733965485
39, 12345678910111213141516171819202122232425262728293031323334
42, 395837165
43, 390119577491733030311941
# 45, 1
47, 163740
48, 16791
50, 8556279399
54, 132
55, 179
56, 18061714498169627460982
# 58, 154
60, 766582546402667448
62, 5
68, 990
# 70, 0
71, 254
74, 25280
# 78, 5873945233705
*-2 79, 161
80, 42703885427
81, 12219501517664801684021
# 83, 6
# 84, 87960930222080
85, 1427
87, 82210551916213699
88, 0
# 90, 96147057896403
93, 261640973700411314373
*-1 96, 137
# 97, 0
98, 1
99, 150094635296999121
