pid	(すべて)													
														
合計 : quantity	列ラベル													
行ラベル	201506	201507	201508	201509	201510	201511	201512	201601	201602	201603	201604	201605	(空白)	総計
s00000	14.3168	13.6562	13.436	11.013	30.1752	27.3123	34.8008	27.5324	33.9198	29.0742	35.4617	33.6997		304.3981
s00001	10.1322	14.0964	9.9118	8.3699	21.5859	25.1091	27.7528	20.4843	24.6691	22.0261	30.616	36.1226		250.8762
s00002	13.656	15.1976	16.0788	14.7571	23.1267	19.8229	15.8585	18.9422	14.9773	20.9243	40.3067	33.9196		247.5677
s00003	24.0082	16.5194	15.1979	8.3701	43.831	22.9069	16.96	19.3831	18.2814	18.0612	22.2461	16.9599		242.7252
s00004	20.0433	22.4663	17.4003	13.2156	27.0916	21.5854	28.4133	24.449	22.0258	30.1752	47.7958	57.0465		331.7081
s00005	11.2334	14.0967	9.6917	14.9776	14.317	15.1979	16.0791	14.5372	19.3829	22.6866	25.7701	28.854		206.8242
s00006	8.8104	11.013	9.2512	7.7095	14.9778	13.8766	13.4359	17.401	16.9602	24.4488	24.8892	18.7224		181.496
s00007	3.7445	2.2028	1.7621	1.7623	5.7267	8.15	6.6082	7.7092	7.9297	9.2512	13.8767	16.5199		85.2433
s00008	4.8458	6.6077	4.185	9.471	7.0484	10.5726	7.4891	11.4539	12.5549	13.8763	13.6564	20.7046		122.4657
s00009	17.6205	27.7525	19.1621	14.3167	38.324	60.35	64.5347	34.8008	38.7655	41.1884	58.3681	53.3025		468.4858
s00010	16.0789	28.6334	21.8057	15.4181	22.9071	24.2283	22.2458	20.7039	18.7218	24.2281	32.3776	32.378		279.7267
s00011	9.0309	11.0131	10.1321	8.8106	14.5372	15.859	18.502	21.5855	16.2993	20.9247	20.044	19.8236		186.562
s00012	5.7269	9.6913	3.3039	5.727	9.9119	14.3169	10.7929	11.6739	11.8941	15.6386	18.2819	24.0084		140.9677
s00013	14.0966	14.5372	11.2335	8.1498	8.8104	16.96	17.1803	13.8765	14.7577	14.3171	19.3831	26.6513		179.9535
s00014	6.1673	5.947	5.2862	4.6254	18.2817	32.8183	31.2769	32.8186	36.1222	37.0032	40.3069	40.0871		290.7408
s00015	19.8234	13.2156	18.722	11.8942	13.8766	11.4536	11.013	17.8411	10.793	19.603	19.383	22.0262		189.6447
s00016	5.5066	3.5242	3.0836	2.2026	5.7271	7.7091	7.2686	11.013	8.3701	8.5903	11.8945	15.6385		90.5282
s00017	24.2285	22.9066	21.8055	18.5016	29.2946	31.0561	21.8058	17.621	30.6158	34.8002	40.9679	36.7835		330.3871
s00018	16.5191	11.4532	9.6913	2.8634	23.7876		4.6255	12.5545	5.2862		14.317	9.9115		111.0093
s00019	9.0307	7.489	6.8279	6.8281	9.4714	7.489	5.5068	7.4889	6.6078	11.8941	12.9956	8.8106		100.4399
s00020	7.7091	8.3699	10.1319	5.0661	12.3346	17.8412	9.251	12.7751	17.1804	12.9954	15.859	15.8589		145.3726
s00021	14.0968	11.2332	14.0965	8.8104	15.8587	15.6385	17.1803	18.502	13.8762	13.436	20.0436	28.4135		191.1857
s00022	6.608	11.2332	10.1319	8.3701	17.8412	25.1093	27.0917	40.0868	32.8181	34.3605	40.0867	43.8315		297.569
s00023	22.0259	30.8362	26.4308	17.8411	37.8845	33.4791	33.6992	27.092	23.7882	26.431	31.4966	35.4616		346.4662
s00024	39.646	48.6764	36.3422	24.6689	41.1881	51.0993	45.3728	58.5878	70.0412	73.5651	102.1988	129.7306		721.1172
s00025	13.8763	10.5725	15.6383	20.2637	18.0615	24.2287	24.4486	21.5853	16.5197	21.3651	17.4009	22.4666		226.4272
s00026	28.4131	19.8232	12.3346	8.8105	18.2813	27.5323	27.7524	26.4309	29.2942	35.0211	38.3246	37.6642		309.6824
s00027	23.127	18.2816	13.6564	10.7931	25.7704	40.9679	40.3072	35.902	37.6637	40.5273	43.6107	53.082		383.6893
s00028	9.0305	14.7572	11.2332	7.7091	22.6866	21.1445	23.5673	32.598	30.836	31.0561	35.9017	43.8311		284.3513
s00029	19.6027	14.0966	14.5372	11.013	17.6209	28.193	17.4005	21.5852	23.7878	23.7877	24.8892	35.4619		251.9757
s00030	12.555	14.7574	9.6917	16.5197	17.6209	19.603	17.8411	25.3299	31.7169	29.5146	38.9854	26.8715		261.0071
s00031	14.7573	11.6739	14.9777	9.9116	12.3346	21.1447	17.6208	21.8055	19.3828	22.6867	40.5273	41.4087		248.2316
s00032	9.0306	9.6914	5.7267	8.8104	15.1977	24.0079	12.7753	9.912	12.5548	20.2633	18.9424	17.6207		164.5332
s00033	19.6029	14.3167	13.6559	9.9117	25.1094	33.2587	25.7705	29.2945	42.7295	41.6287	41.1882	44.9323		341.399
s00034	8.3698	7.2686	3.0838	3.3039	16.9598	11.6738	10.5724	14.0965	12.5546	18.7218	41.8489	29.5145		177.9684
s00035	7.0482	7.9292	2.8634	4.1849	19.3826	28.6334	24.2281	38.765	44.7117	41.1879	54.1832	44.2716		317.3892
s00036	53.5222	56.8261	43.1702	40.3066	42.0694	58.368	54.8437	53.5223	53.3023	63.4335	68.7201	78.6312		666.7156
s00037	19.603	18.2813	14.7574	15.8585	29.5143	39.426	29.2941	26.6515	35.4613	33.9199	40.3073	36.1225		339.1971
s00038	4.8459	4.4053	1.5419	1.1014	1.9825	1.3217	3.3041	2.2027	4.1851	1.542	5.2864	3.0837		34.8027
s00039	5.9474	5.9474	9.6917	6.8284	14.0968	14.0967	15.4181	12.5551	9.4713	12.7753	15.6388	20.4842		142.9512
